station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,mslp,alti
CYGP,2026-09-21 12:00,-64.4781,48.7769,33.00,46.40,46.40,100.00,250.00,3.00,1017.30,30.03
CWTT,2026-09-21 12:00,-72.1667,45.2667,209.00,48.70,45.50,88.64,10.00,5.00,M,M
CYNM,2026-09-21 12:00,-77.8028,49.7617,281.00,39.20,37.40,93.19,330.00,5.00,1029.10,30.35
CWQR,2026-09-21 12:00,-64.2072,50.2208,9.00,44.00,42.60,94.78,20.00,4.00,M,M
CYQB,2026-09-21 12:00,-71.3933,46.7911,73.00,50.00,41.00,71.06,340.00,4.00,1022.00,30.17
CWIZ,2026-09-21 12:00,-73.3494,45.2939,45.00,50.00,45.70,85.09,10.00,4.00,M,M
GMMN,2026-09-21 12:00,-7.5900,33.3675,206.00,98.60,57.20,25.51,M,4.00,M,30.09
CYCX,2026-09-21 12:00,-66.4367,45.8377,51.00,50.00,46.40,87.37,300.00,4.00,1018.30,30.07
CXLB,2026-09-21 12:00,-64.2961,44.3600,4.00,59.70,56.30,88.51,110.00,15.00,1015.50,M
CWGD,2026-09-21 12:00,-81.7167,43.7667,214.00,49.60,43.00,77.91,70.00,11.00,1023.60,M
CXEA,2026-09-21 12:00,-93.2214,50.6306,355.00,38.00,37.80,99.22,100.00,1.00,1029.20,M
CYQA,2026-09-21 12:00,-79.3033,44.9747,282.00,42.80,37.40,81.06,40.00,3.00,1025.90,30.27
CXTO,2026-09-21 12:00,-79.4193,43.6624,108.00,51.00,41.70,70.35,M,M,1024.10,M
CYPQ,2026-09-21 12:00,-78.3633,44.2300,191.00,44.60,39.20,81.20,40.00,10.00,1025.10,30.25
CYZR,2026-09-21 12:00,-82.3073,42.9951,181.00,53.60,46.40,76.51,50.00,10.00,1022.60,30.19
CWTN,2026-09-21 12:00,-70.7808,47.0786,6.00,49.60,47.00,90.72,300.00,2.00,1020.70,M
CYNA,2026-09-21 12:00,-61.7889,50.1900,11.00,46.40,46.40,100.00,40.00,6.00,1016.20,30.00
CWJB,2026-09-21 12:00,-71.2875,46.7803,91.00,50.50,40.60,68.68,310.00,6.00,M,M
GMMD,2026-09-21 12:00,-6.4000,32.3667,469.54,95.00,46.40,19.11,340.00,3.00,M,30.15
CWJO,2026-09-21 12:00,-71.1426,48.4250,133.00,42.00,41.00,96.21,300.00,10.00,1023.30,M
40B,2026-09-21 12:20,-69.5310,46.6090,314.00,49.50,49.50,100.00,0.00,0.00,M,M
ETND,2026-09-21 12:20,8.3464,52.5903,43.00,64.40,46.40,52.00,290.00,7.00,M,30.36
ETSL,2026-09-21 12:20,10.8506,48.1864,562.00,59.00,39.20,47.72,330.00,6.00,M,30.42
